Ten_Mon_An,Khoi_Luong_g,Calo,Protein,Chat_Beo,Tinh_Bot,Nhom_Thuc_Pham
Cows' milk,976,660.0,32,40.0,48.0,Dairy products
Milk skim,984,360.0,36,0.0,52.0,Dairy products
Buttermilk,246,127.0,9,5.0,13.0,Dairy products
"Evaporated, undiluted",252,345.0,16,20.0,24.0,Dairy products
Fortified milk,1419,1373.0,89,42.0,119.0,Dairy products
Powdered milk,103,515.0,27,28.0,39.0,Dairy products
"skim, instant",85,290.0,30,0.0,42.0,Dairy products
"skim, non-instant",85,290.0,30,0.0,42.0,Dairy products
Goats' milk,244,165.0,8,10.0,11.0,Dairy products
(1/2 cup ice cream),540,690.0,24,24.0,70.0,Dairy products
Cocoa,252,235.0,8,11.0,26.0,Dairy products
skim. milk,250,128.0,18,4.0,13.0,Dairy products
(cornstarch),248,275.0,9,10.0,40.0,Dairy products
Custard,248,285.0,13,14.0,28.0,Dairy products
Ice cream,188,300.0,6,18.0,29.0,Dairy products
Ice milk,190,275.0,9,10.0,32.0,Dairy products
Cream or half-and-half,120,170.0,4,15.0,5.0,Dairy products
or whipping,119,430.0,2,44.0,3.0,Dairy products
Cheese,225,240.0,30,11.0,6.0,Dairy products
uncreamed,225,195.0,38,0.0,6.0,Dairy products
Cheddar,17,70.0,4,6.0,0.0,Dairy products
"Cheddar, grated cup",56,226.0,14,19.0,1.0,Dairy products
Cream cheese,28,105.0,2,11.0,1.0,Dairy products
Processed cheese,28,105.0,7,9.0,0.0,Dairy products
Roquefort type,28,105.0,6,9.0,0.0,Dairy products
Swiss,28,105.0,7,8.0,0.0,Dairy products
Eggs raw,100,150.0,12,12.0,0.0,Dairy products
Eggs Scrambled or fried,128,220.0,13,16.0,1.0,Dairy products
Yolks,34,120.0,6,10.0,0.0,"Fats, Oils, Shortenings"
Butter,14,100.0,0,11.0,0.0,"Fats, Oils, Shortenings"
Hydrogenated cooking fat,100,665.0,0,100.0,0.0,"Fats, Oils, Shortenings"
Lard,110,992.0,0,110.0,0.0,"Fats, Oils, Shortenings"
Margarine,112,806.0,0,91.0,0.0,"Fats, Oils, Shortenings"
"Margarine, 2 pat or",14,100.0,0,11.0,0.0,"Fats, Oils, Shortenings"
Mayonnaise,15,110.0,0,12.0,0.0,"Fats, Oils, Shortenings"
Corn oil,14,125.0,0,14.0,0.0,"Fats, Oils, Shortenings"
Olive oil,14,125.0,0,14.0,0.0,"Fats, Oils, Shortenings"
Safflower seed oil,14,125.0,0,14.0,0.0,"Fats, Oils, Shortenings"
French dressing,15,60.0,0,6.0,2.0,"Fats, Oils, Shortenings"
Thousand Island sauce,15,75.0,0,8.0,1.0,"Fats, Oils, Shortenings"
Salt pork,60,470.0,3,55.0,0.0,"Meat, Poultry"
Bacon,16,95.0,4,8.0,1.0,"Meat, Poultry"
Beef,85,245.0,23,16.0,0.0,"Meat, Poultry"
Hamburger,85,245.0,21,17.0,0.0,"Meat, Poultry"
Ground lean,85,185.0,24,10.0,0.0,"Meat, Poultry"
Roast beef,85,390.0,16,36.0,0.0,"Meat, Poultry"
Steak,85,330.0,20,27.0,0.0,"Meat, Poultry"
"Steak, lean, as round",85,220.0,24,12.0,0.0,"Meat, Poultry"
Corned beef,85,185.0,22,10.0,0.0,"Meat, Poultry"
Corned beef hash canned,85,120.0,12,8.0,6.0,"Meat, Poultry"
Corned beef hash Dried,56,115.0,19,4.0,0.0,"Meat, Poultry"
Pot-pie,227,480.0,18,28.0,32.0,"Meat, Poultry"
Corned beef hash Stew,235,185.0,15,10.0,15.0,"Meat, Poultry"
chicken,85,185.0,23,9.0,0.0,"Meat, Poultry"
"Fried, breast or leg and thigh chicken",85,245.0,25,15.0,0.0,"Meat, Poultry"
Roasted chicken,100,290.0,25,20.0,0.0,"Meat, Poultry"
"Chicken livers, fried",100,140.0,22,14.0,2.3,"Meat, Poultry"
"Duck, domestic",100,370.0,16,28.0,0.0,"Meat, Poultry"
"Lamb, chop, broiled",115,480.0,24,35.0,0.0,"Meat, Poultry"
Leg roasted,86,314.0,20,14.0,0.0,"Meat, Poultry"
"Shoulder, braised",85,285.0,18,23.0,0.0,"Meat, Poultry"
"Pork, chop, 1 thick",100,260.0,16,21.0,0.0,"Meat, Poultry"
Ham pan-broiled,85,290.0,16,22.0,0.0,"Meat, Poultry"
"Ham, as ",57,170.0,13,13.0,0.0,"Meat, Poultry"
"Ham, canned, spiced",57,165.0,8,14.0,1.0,"Meat, Poultry"
Pork roast,85,310.0,21,24.0,0.0,"Meat, Poultry"
Pork sausage,100,475.0,18,44.0,0.0,"Meat, Poultry"
Turkey,100,265.0,27,15.0,0.0,"Meat, Poultry"
Veal,85,185.0,23,9.0,0.0,"Meat, Poultry"
Roast,85,305.0,13,14.0,0.0,"Meat, Poultry"
Clams,85,87.0,12,1.0,2.0,"Fish, Seafood"
Cod,100,170.0,28,5.0,0.0,"Fish, Seafood"
Crab meat,85,90.0,14,2.0,1.0,"Fish, Seafood"
Fish sticks fried,112,200.0,19,10.0,8.0,"Fish, Seafood"
Flounder,100,200.0,30,8.0,0.0,"Fish, Seafood"
Haddock,85,135.0,16,5.0,6.0,"Fish, Seafood"
Halibut,100,182.0,26,8.0,0.0,"Fish, Seafood"
Herring,100,211.0,22,13.0,0.0,"Fish, Seafood"
Lobster,100,92.0,18,1.0,0.0,"Fish, Seafood"
Mackerel,85,155.0,18,9.0,0.0,"Fish, Seafood"
Oysters,230,231.0,232,233.0,236.0,"Fish, Seafood"
Oyster stew,85,125.0,19,6.0,0.0,"Fish, Seafood"
Salmon,85,120.0,17,5.0,0.0,"Fish, Seafood"
Sardines,85,180.0,22,9.0,0.0,"Fish, Seafood"
Scallops,100,104.0,18,8.0,10.0,"Fish, Seafood"
Shad,85,170.0,20,10.0,0.0,"Fish, Seafood"
Shrimp,85,110.0,23,1.0,0.0,"Fish, Seafood"
Swordfish,100,180.0,27,6.0,0.0,"Fish, Seafood"
Tuna,85,170.0,25,7.0,0.0,"Fish, Seafood"
Artichoke,100,0.0,2,0.0,10.0,Vegetables A-E
Asparagus,96,18.0,1,0.0,3.0,Vegetables A-E
Beans,125,25.0,1,0.0,6.0,Vegetables A-E
Lima,160,140.0,8,0.0,24.0,Vegetables A-E
"Lima, dry, cooked",192,260.0,16,0.0,48.0,Vegetables A-E
"Navy, baked with pork",200,250.0,11,6.0,37.0,Vegetables A-E
Red kidney,260,230.0,15,1.0,42.0,Vegetables A-E
Bean sprouts,50,17.0,1,0.0,3.0,Vegetables A-E
Beet greens,100,27.0,2,0.0,6.0,Vegetables A-E
Beetroots,165,1.0,12,0.0,0.8,Vegetables A-E
Broccoli,150,45.0,5,0.0,8.0,Vegetables A-E
Brussels sprouts,130,60.0,6,0.0,12.0,Vegetables A-E
Sauerkraut,150,32.0,1,0.0,7.0,Vegetables A-E
Steamed cabbage,170,40.0,2,0.0,9.0,Vegetables A-E
Carrots,150,45.0,1,0.0,10.0,Vegetables A-E
"Raw, grated",110,45.0,1,0.0,10.0,Vegetables A-E
"Strips, from raw",50,20.0,0,0.0,5.0,Vegetables A-E
Cauliflower,120,30.0,3,0.0,6.0,Vegetables A-E
Celery,100,20.0,1,0.0,4.0,Vegetables A-E
Stalk raw,40,5.0,1,0.0,1.0,Vegetables A-E
Chard steamed,150,30.0,2,0.0,7.0,Vegetables A-E
Collards,150,51.0,5,0.0,8.0,Vegetables A-E
Corn,100,92.0,3,1.0,21.0,Vegetables A-E
cooked or canned,200,170.0,5,0.0,41.0,Vegetables A-E
Cucumbers,50,6.0,0,0.0,1.0,Vegetables A-E
Dandelion greens,180,80.0,5,1.0,16.0,Vegetables A-E
Eggplant,180,30.0,2,0.0,9.0,Vegetables A-E
Endive,57,10.0,1,0.0,2.0,Vegetables A-E
Kale,110,45.0,4,1.0,8.0,Vegetables F-P
Kohlrabi,140,40.0,2,0.0,9.0,Vegetables F-P
"Lambs quarters, steamed",150,48.0,5,0.0,7.0,Vegetables F-P
Lentils,200,212.0,15,0.0,38.0,Vegetables F-P
Lettuce,100,14.0,1,0.0,2.0,Vegetables F-P
Iceberg,100,13.0,0,0.0,3.0,Vegetables F-P
Mushrooms canned,120,12.0,2,0.0,4.0,Vegetables F-P
Mustard greens,140,30.0,3,0.0,6.0,Vegetables F-P
Okra,100,32.0,1,0.0,7.0,Vegetables F-P
Onions,210,80.0,2,0.0,18.0,Vegetables F-P
"Raw, green",50,22.0,0,0.0,5.0,Vegetables F-P
Parsley,50,2.0,0,0.0,0.0,Vegetables F-P
Parsnips,155,95.0,2,1.0,22.0,Vegetables F-P
Peas,100,66.0,3,0.0,13.0,Vegetables F-P
"Fresh, steamed peas",100,70.0,5,0.0,12.0,Vegetables R-Z
Split cooked peas,100,115.0,8,0.0,21.0,Vegetables R-Z
heated peas,100,53.0,3,0.0,10.0,Vegetables R-Z
Peppers canned,38,10.0,0,0.0,2.0,Vegetables R-Z
"Peppers Raw, green, sweet",100,25.0,1,0.0,6.0,Vegetables R-Z
Peppers with beef and crumbs,150,255.0,19,9.0,24.0,Vegetables R-Z
"Potatoes, baked",100,100.0,2,0.0,22.0,Vegetables R-Z
French-fried,60,155.0,-1,7.0,20.0,Vegetables R-Z
Potatoes Mashed with milk and butter,200,230.0,4,12.0,28.0,Vegetables R-Z
"Potatoes, pan-tried",100,268.0,4,14.0,33.0,Vegetables R-Z
Scalloped with cheese potatoes,100,145.0,6,8.0,14.0,Vegetables R-Z
Steamed potatoes before peeling,100,80.0,2,0.0,19.0,Vegetables R-Z
Potato chips,20,110.0,1,7.0,10.0,Vegetables R-Z
Radishes,50,10.0,0,0.0,2.0,Vegetables R-Z
Rutabagas,100,32.0,0,0.0,8.0,Vegetables R-Z
Soybeans,200,260.0,22,11.0,20.0,Vegetables R-Z
Spinach,100,26.0,3,0.0,3.0,Vegetables R-Z
Squash,210,35.0,1,0.0,8.0,Vegetables R-Z
"Winter, mashed",200,95.0,4,0.0,23.0,Vegetables R-Z
Sweet potatoes,110,155.0,2,1.0,36.0,Vegetables R-Z
Candied,175,235.0,2,6.0,80.0,Vegetables R-Z
Tomatoes,240,50.0,2,0.0,9.0,Vegetables R-Z
"Raw, 2 by 2 1/2",150,30.0,1,0.0,6.0,Vegetables R-Z
Tomato juice,240,50.0,2,0.0,10.0,Vegetables R-Z
Tomato catsup,17,15.0,0,0.0,4.0,Vegetables R-Z
Turnip greens,145,45.0,4,1.0,8.0,Vegetables R-Z
"Turnips, steamed",155,40.0,1,0.0,9.0,Vegetables R-Z
"Watercress stems, raw",50,9.0,1,0.0,1.0,Fruits A-F
Apple juice canned,250,125.0,0,0.0,34.0,Fruits A-F
Apple vinegar,100,14.0,0,0.0,3.0,Fruits A-F
"Apples, raw",130,70.0,0,0.0,18.0,Fruits A-F
Stewed or canned,240,100.0,0,0.0,26.0,Fruits A-F
Apricots,250,220.0,2,0.0,57.0,Fruits A-F
"Dried, uncooked",75,220.0,4,0.0,50.0,Fruits A-F
Fresh,114,55.0,1,0.0,14.0,Fruits A-F
"Nectar, or juice",250,140.0,1,0.0,36.0,Fruits A-F
Avocado,108,185.0,2,18.0,6.0,Fruits A-F
Banana,150,85.0,1,0.0,23.0,Fruits A-F
Blackberries,144,85.0,2,1.0,19.0,Fruits A-F
Blueberries,250,245.0,1,0.0,65.0,Fruits A-F
Cantaloupe,380,40.0,1,0.0,9.0,Fruits A-F
Cherries,257,100.0,2,1.0,26.0,Fruits A-F
"Fresh, raw",114,65.0,1,0.0,15.0,Fruits A-F
Cranberry sauce sweetened,277,530.0,0,0.0,142.0,Fruits A-F
Dates,178,505.0,4,0.0,134.0,Fruits A-F
Figs,42,120.0,2,0.0,30.0,Fruits A-F
"Fresh, raw figs",114,90.0,2,0.0,22.0,Fruits A-F
figs Canned with syrup ,115,130.0,1,0.0,32.0,Fruits A-F
"Fruit cocktail, canned",256,195.0,1,0.0,50.0,Fruits A-F
Grapefruit sections,250,170.0,1,0.0,44.0,Fruits G-P
"Grapefruit, fresh, 5"" diameter",285,50.0,1,0.0,14.0,Fruits G-P
Grapefruit juice,250,100.0,1,0.0,24.0,Fruits G-P
Grapes,153,70.0,1,0.0,16.0,Fruits G-P
"European, as Muscat, Tokay",160,100.0,1,0.0,26.0,Fruits G-P
Grape juice,250,160.0,1,0.0,42.0,Fruits G-P
Lemon juice,125,30.0,0,0.0,10.0,Fruits G-P
Lemonade concentratefrozen,220,430.0,0,0.0,112.0,Fruits G-P
Limeade concentrate frozen,218,405.0,0,0.0,108.0,Fruits G-P
Olives large,65,72.0,1,10.0,3.0,Fruits G-P
OlivesRipe,65,105.0,1,13.0,1.0,Fruits G-P
"Oranges 3"" diameter",180,60.0,2,0.0,16.0,Fruits G-P
Orange juice,250,112.0,2,0.0,25.0,Fruits G-P
Frozen ,210,330.0,2,0.0,78.0,Fruits G-P
